seed,D,B,A,C,me_encounter,me_smote,interaction
42,0.6696,0.6693,0.956,0.9561,-0.0001,0.2866,0.0003
1,0.6701,0.6691,0.9561,0.9562,-0.0005,0.2865,0.0011
2,0.67,0.6699,0.9561,0.9562,-0.0,0.2862,0.0001
3,0.671,0.6709,0.9562,0.9562,-0.0,0.2852,0.0002
4,0.6692,0.6697,0.9563,0.9563,0.0003,0.2868,-0.0005
5,0.6711,0.6711,0.9561,0.9562,0.0,0.285,0.0
6,0.6702,0.6702,0.9561,0.9562,0.0,0.286,0.0001
7,0.6705,0.6699,0.9561,0.9561,-0.0003,0.2859,0.0005
8,0.6708,0.6706,0.9563,0.9562,-0.0002,0.2856,0.0001
9,0.6705,0.6704,0.9564,0.9563,-0.0001,0.2859,0.0001
10,0.6706,0.6702,0.9564,0.9563,-0.0002,0.2859,0.0002
